Year,Period,State,Commodity,Data Item,Value,Discounted_Value,Return
1989,OCT,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.25,2.225026227,-0.017141059
1989,NOV,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.28,2.254134073,0.005644609
1989,DEC,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.33,2.302995547,0.009313354
1990,JAN,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.31,2.282661098,-0.003851661
1990,FEB,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.34,2.311732588,0.005496158
1990,MAR,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.44,2.409926762,0.018066249
1990,APR,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.61,2.577192186,0.029142961
1990,MAY,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.71,2.675271542,0.016221064
1990,JUN,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.74,2.704216275,0.004673552
1990,JUL,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.71,2.673944757,-0.004888992
1990,AUG,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.55,2.515449486,-0.02653683
1990,SEP,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.37,2.337308543,-0.031899554
1990,OCT,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.26,2.228273113,-0.020747626
1990,NOV,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.22,2.188291813,-0.007863184
1990,DEC,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.29,2.256732191,0.013374788
1991,JAN,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.33,2.295581641,0.007412719
1991,FEB,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.39,2.354111361,0.01093426
1991,MAR,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.47,2.432306699,0.014191333
1991,APR,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.52,2.480928246,0.008595868
1991,MAY,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.48,2.440942922,-0.00705658
1991,JUN,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.4,2.361616995,-0.014348159
1991,JUL,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.37,2.331518415,-0.005570615
1991,AUG,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.48,2.43912729,0.019595615
1991,SEP,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.39,2.350027615,-0.0161615
1991,OCT,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.42,2.378935741,0.005309746
1991,NOV,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.38,2.339034258,-0.007346129
1991,DEC,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.44,2.397406797,0.01070515
1992,JAN,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.48,2.436104237,0.006954135
1992,FEB,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.58,2.533705724,0.017060305
1992,MAR,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.63,2.582168004,0.008228323
1992,APR,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.56,2.512817759,-0.011823503
1992,MAY,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.55,2.502381312,-0.001807505
1992,JUN,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.53,2.482139062,-0.003527379
1992,JUL,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.35,2.304972407,-0.032160378
1992,AUG,ILLINOIS,CORN,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",2.2,2.157311356,-0.028752901
