,COUNTY,YEAR,MONTH,TMP_HIGH,TMP_AVG,TMP_LOW,DP_HIGH,DP_AVG,DP_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SEALVL_HIGH,SEALVL_AVG,SEALVL_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIND_HIGH,WIND_AVG,PRECIP,NUMDAY_RAIN,NUM_DAYS_SNOW,NUM_DAYS_FOG,NUM_DAYS_THNDRSTRM
22,mclean,2002,NOV,60.0,37.3666666667,15.0,59.0,31.2333333333,5.0,100.0,80.1,39.0,30.43,30.0166666667,29.32,20.0,7.93333333333,0.0,29.0,11.1666666667,0.0,7.0,6.0,2.0,0.0
23,mclean,2002,DEC,59.0,30.6451612903,8.0,57.0,23.8064516129,3.0,100.0,76.8064516129,30.0,31.14,30.0335483871,28.63,20.0,7.61290322581,0.0,29.0,11.7741935484,0.0,2.0,5.0,5.0,2.0
24,mclean,2003,JAN,53.0,21.0967741935,-4.0,39.0,13.7741935484,-11.0,100.0,73.5161290323,30.0,30.58,30.1403225806,29.48,20.0,8.77419354839,0.0,26.0,11.5161290323,0.0,2.0,14.0,1.0,0.0
25,mclean,2003,FEB,53.0,24.6785714286,0.0,52.0,18.5,-6.0,100.0,77.9642857143,20.0,30.55,30.0439285714,29.34,20.0,7.92857142857,0.0,32.0,11.0357142857,0.0,2.0,11.0,5.0,0.0
26,mclean,2003,MAR,75.0,40.2903225806,8.0,63.0,32.2903225806,-6.0,100.0,75.9677419355,24.0,30.37,29.9322580645,29.46,20.0,7.58064516129,0.0,28.0,10.5483870968,0.0,10.0,7.0,3.0,3.0
27,mclean,2003,ARP,84.0,52.5,28.0,63.0,40.1333333333,21.0,100.0,67.2333333333,20.0,30.33,29.952,29.47,20.0,8.63333333333,0.0,29.0,11.7666666667,0.0,14.0,3.0,1.0,3.0
28,mclean,2003,MAY,86.0,59.4838709677,35.0,73.0,50.0322580645,25.0,100.0,72.1935483871,30.0,30.37,29.9338709677,29.36,20.0,9.03225806452,0.0,31.0,10.1612903226,0.0,14.0,0.0,2.0,7.0
29,mclean,2003,JUN,89.0,66.8,39.0,72.0,55.6,19.0,100.0,69.5333333333,13.0,30.21,29.959,29.7,20.0,8.53333333333,0.0,23.0,7.56666666667,0.0,12.0,0.0,5.0,6.0
30,mclean,2003,JUL,93.0,73.4516129032,57.0,77.0,65.3225806452,52.0,100.0,76.2258064516,43.0,30.21,29.9964516129,29.66,15.0,8.61290322581,0.0,46.0,8.67741935484,0.0,7.0,0.0,0.0,6.0
31,mclean,2003,AUG,96.0,73.5806451613,57.0,79.0,65.7741935484,32.0,100.0,76.5161290323,30.0,30.38,30.0580645161,29.87,15.0,7.48387096774,0.0,21.0,7.06451612903,0.0,5.0,0.0,6.0,3.0
32,mclean,2003,SEP,84.0,63.4,37.0,70.0,52.7333333333,28.0,100.0,67.4666666667,30.0,30.37,30.061,29.61,20.0,8.86666666667,0.0,23.0,8.7,0.0,7.0,0.0,1.0,2.0
33,mclean,2003,OCT,84.0,53.8064516129,30.0,63.0,42.3870967742,16.0,100.0,68.0322580645,24.0,30.4,30.0064516129,29.54,20.0,9.29032258065,0.0,30.0,10.1612903226,0.0,8.0,0.0,2.0,1.0
34,mclean,2003,NOV,77.0,42.7333333333,19.0,63.0,37.5666666667,12.0,100.0,80.9333333333,30.0,30.67,30.0463333333,29.49,20.0,7.2,0.0,34.0,12.1333333333,0.0,10.0,2.0,6.0,0.0
35,mclean,2003,DEC,51.0,31.7419354839,8.0,52.0,26.6451612903,3.0,100.0,81.7419354839,31.0,30.58,30.0532258065,29.33,20.0,8.09677419355,0.0,135.0,12.935483871,0.0,6.0,9.0,2.0,0.0
36,mclean,2004,JAN,62.0,22.5161290323,-7.0,59.0,16.4838709677,-13.0,100.0,77.5806451613,29.0,30.53,30.1029032258,29.66,15.0,8.38709677419,0.0,31.0,12.8387096774,0.0,5.0,12.0,2.0,0.0
