,COUNTY,STATE,ABBREVIATION,CITY,AIRPORT CODE
881,wayne,iowa,ia,corydon,KCNC
882,webster,iowa,ia,fort-dodge,KFOD
883,winnebago,iowa,ia,forest-city,KFXY
884,winneshiek,iowa,ia,decorah,KDEH
885,woodbury,iowa,ia,sioux-city,KSUX
886,worth,iowa,ia,northwood,KAEL
887,wright,iowa,ia,clarion,KCAV
888,allen,kansas,ks,iola,KCNU
889,anderson,kansas,ks,garnett,KIXD
890,atchison,kansas,ks,atchison,KSTJ
891,barber,kansas,ks,medicine-lodge,KPTT
892,barton,kansas,ks,great-bend,KGBD
893,bourbon,kansas,ks,fort-scott,KPTS
894,brown,kansas,ks,hiawatha,KFNB
895,butler,kansas,ks,el-dorado,KAAO
896,chase,kansas,ks,cottonwood-falls,KEMP
897,chautauqua,kansas,ks,sedan,KIDP
898,cherokee,kansas,ks,columbus,KJLN
899,cheyenne,kansas,ks,st.-francis,KSYF
900,clark,kansas,ks,ashland,KDDC
901,clay,kansas,ks,clay-center,KMHK
902,cloud,kansas,ks,concordia,KCNK
903,coffey,kansas,ks,burlington,
904,comanche,kansas,ks,coldwater,KPTT
905,cowley,kansas,ks,winfield,
906,crawford,kansas,ks,girard,KPTS
907,decatur,kansas,ks,oberlin,KMCK
908,dickinson,kansas,ks,abilene,KSLN
909,doniphan,kansas,ks,troy,KSTJ
910,douglas,kansas,ks,lawrence,KLWC
911,edwards,kansas,ks,kinsley,
912,elk,kansas,ks,howard,KIDP
913,ellis,kansas,ks,hays,KHYS
914,ellsworth,kansas,ks,ellsworth,KSLN
915,finney,kansas,ks,garden-city,KGCK
916,ford,kansas,ks,dodge-city,KDDC
917,franklin,kansas,ks,ottawa,KIXD
918,geary,kansas,ks,junction-city,KFRI
919,gove,kansas,ks,gove-city,
920,graham,kansas,ks,hill-city,KHLC
921,grant,kansas,ks,ulysses,KGCK
922,gray,kansas,ks,cimarron,KDDC
923,greeley,kansas,ks,tribune,KLAA
924,greenwood,kansas,ks,eureka,KEMP
925,hamilton,kansas,ks,syracuse,KLAA
926,harper,kansas,ks,anthony,KAVK
927,harvey,kansas,ks,newton,KEWK
928,haskell,kansas,ks,sublette,
929,hodgeman,kansas,ks,jetmore,KDDC
930,jackson,kansas,ks,holton,KTOP
931,jefferson,kansas,ks,oskaloosa,KLWC
932,jewell,kansas,ks,mankato,KCNK
933,johnson,kansas,ks,olathe,KOJC
934,kearny,kansas,ks,lakin,KGCK
935,kingman,kansas,ks,kingman,KHUT
936,kiowa,kansas,ks,greensburg,KPTT
937,labette,kansas,ks,oswego,KPPF
938,lane,kansas,ks,dighton,KGCK
939,leavenworth,kansas,ks,leavenworth,KMCI
940,lincoln,kansas,ks,lincoln,KSLN
941,linn,kansas,ks,mound-city,KIXD
942,logan,kansas,ks,oakley,KCBK
943,lyon,kansas,ks,emporia,KEMP
944,mcpherson,kansas,ks,mcpherson,KHUT
945,marion,kansas,ks,marion,KEWK
946,marshall,kansas,ks,marysville,KBIE
947,meade,kansas,ks,meade,
948,miami,kansas,ks,paola,KIXD
949,mitchell,kansas,ks,beloit,KCNK
950,montgomery,kansas,ks,independence,KIDP
951,morris,kansas,ks,council-grove,KEMP
952,morton,kansas,ks,elkhart,KGUY
953,nemaha,kansas,ks,seneca,KFNB
954,neosho,kansas,ks,erie,KCNU
955,ness,kansas,ks,ness-city,KHYS
956,norton,kansas,ks,norton,KHLC
957,osage,kansas,ks,lyndon,KFOE
958,osborne,kansas,ks,osborne,KRSL
959,ottawa,kansas,ks,minneapolis,KSLN
960,pawnee,kansas,ks,larned,KGBD
961,phillips,kansas,ks,phillipsburg,KHLC
962,pottawatomie,kansas,ks,westmoreland,KMHK
963,pratt,kansas,ks,pratt,KPTT
964,rawlins,kansas,ks,atwood,KCBK
965,reno,kansas,ks,hutchinson,KHUT
966,republic,kansas,ks,belleville,KCNK
967,rice,kansas,ks,lyons,KHUT
968,riley,kansas,ks,manhattan,KMHK
969,rooks,kansas,ks,stockton,KHLC
970,rush,kansas,ks,la-crosse,KHYS
971,russell,kansas,ks,russell,KRSL
972,saline,kansas,ks,salina,KSLN
973,scott,kansas,ks,scott-city,KGCK
974,sedgwick,kansas,ks,wichita,KICT
975,seward,kansas,ks,liberal,
976,shawnee,kansas,ks,,
977,sheridan,kansas,ks,hoxie,KHLC
978,sherman,kansas,ks,goodland,KGLD
979,smith,kansas,ks,smith-center,KHDE
980,stafford,kansas,ks,st.-john,KPTT
981,stanton,kansas,ks,johnson-city,
982,stevens,kansas,ks,hugoton,
983,sumner,kansas,ks,wellington,
984,thomas,kansas,ks,colby,KCBK
985,trego,kansas,ks,wakeeney,KHLC
986,wabaunsee,kansas,ks,alma,KMHK
987,wallace,kansas,ks,sharon-springs,KGLD
988,washington,kansas,ks,washington,KHJH
989,wichita,kansas,ks,leoti,KGCK
990,wilson,kansas,ks,fredonia,KCNU
991,woodson,kansas,ks,yates-center,KCNU
992,wyandotte,kansas,ks,kansas-city,KMKC
993,adair,kentucky,ky,columbia,KGLW
994,allen,kentucky,ky,scottsville,KBWG
995,anderson,kentucky,ky,lawrenceburg,KFFT
996,ballard,kentucky,ky,wickliffe,KCIR
997,barren,kentucky,ky,glasgow,KGLW
998,bath,kentucky,ky,owingsville,KIOB
999,bell,kentucky,ky,pineville,K1A6
1000,boone,kentucky,ky,burlington,KCVG
1001,bourbon,kentucky,ky,paris,KIOB
1002,boyd,kentucky,ky,catlettsburg,KHTS
1003,boyle,kentucky,ky,danville,KDVK
1004,bracken,kentucky,ky,brooksville,KI69
1005,breathitt,kentucky,ky,jackson,KJKL
1006,breckinridge,kentucky,ky,hardinsburg,KFTK
1007,bullitt,kentucky,ky,shepherdsville,KSDF
1008,butler,kentucky,ky,morgantown,KBWG
1009,caldwell,kentucky,ky,princeton,K5M9
1010,calloway,kentucky,ky,murray,KCEY
1011,campbell,kentucky,ky,alexandria,KLUK
1012,carlisle,kentucky,ky,bardwell,KCIR
1013,carroll,kentucky,ky,carrollton,KFFT
1014,carter,kentucky,ky,grayson,KHTS
1015,casey,kentucky,ky,liberty,KDVK
1016,christian,kentucky,ky,hopkinsville,KHOP
1017,clark,kentucky,ky,winchester,KIOB
1018,clay,kentucky,ky,manchester,KLOZ
1019,clinton,kentucky,ky,albany,KSME
1020,crittenden,kentucky,ky,marion,K5M9
1021,cumberland,kentucky,ky,burkesville,KGLW
1022,daviess,kentucky,ky,owensboro,KOWB
1023,edmonson,kentucky,ky,brownsville,KBWG
1024,elliott,kentucky,ky,sandy-hook,KSJS
1025,estill,kentucky,ky,irvine,KIOB
1026,fayette,kentucky,ky,lexington,KLEX
1027,fleming,kentucky,ky,flemingsburg,KIOB
1028,floyd,kentucky,ky,prestonsburg,KSJS
1029,franklin,kentucky,ky,frankfort,KFFT
1030,fulton,kentucky,ky,hickman,KUCY
1031,gallatin,kentucky,ky,warsaw,
1032,garrard,kentucky,ky,lancaster,KDVK
1033,grant,kentucky,ky,williamstown,KCVG
1034,graves,kentucky,ky,mayfield,KM25
1035,grayson,kentucky,ky,leitchfield,KFTK
1036,green,kentucky,ky,greensburg,KGLW
1037,greenup,kentucky,ky,greenup,KHTS
1038,hancock,kentucky,ky,hawesville,KOWB
1039,hardin,kentucky,ky,elizabethtown,KFTK
1040,harlan,kentucky,ky,harlan,KI35
1041,harrison,kentucky,ky,cynthiana,KIOB
1042,hart,kentucky,ky,munfordville,KGLW
1043,henderson,kentucky,ky,henderson,KEHR
1044,henry,kentucky,ky,new-castle,KFFT
1045,hickman,kentucky,ky,clinton,KUCY
1046,hopkins,kentucky,ky,madisonville,K2I0
1047,jackson,kentucky,ky,mckee,KLOZ
1048,jefferson,kentucky,ky,louisville,KLOU
1049,jessamine,kentucky,ky,nicholasville,KLEX
1050,johnson,kentucky,ky,paintsville,KSJS
1051,kenton,kentucky,ky,covington,KLUK
1052,knott,kentucky,ky,hindman,KJKL
1053,knox,kentucky,ky,barbourville,KLOZ
1054,larue,kentucky,ky,hodgenville,KFTK
1055,laurel,kentucky,ky,london,KLOZ
1056,lawrence,kentucky,ky,louisa,KHTS
1057,lee,kentucky,ky,beattyville,KJKL
1058,leslie,kentucky,ky,hyden,KI35
1059,letcher,kentucky,ky,whitesburg,KLNP
1060,lewis,kentucky,ky,vanceburg,KHTS
1061,lincoln,kentucky,ky,stanford,KDVK
1062,livingston,kentucky,ky,smithland,KM30
1063,logan,kentucky,ky,russellville,KBWG
1064,lyon,kentucky,ky,eddyville,K5M9
1065,mccracken,kentucky,ky,paducah,KPAH
1066,mccreary,kentucky,ky,whitley-city,KSME
1067,mclean,kentucky,ky,calhoun,K2I0
1068,madison,kentucky,ky,richmond,KLEX
1069,magoffin,kentucky,ky,salyersville,KJKL
1070,marion,kentucky,ky,lebanon,KDVK
1071,marshall,kentucky,ky,benton,KCEY
1072,martin,kentucky,ky,inez,KSJS
1073,mason,kentucky,ky,maysville,KI69
1074,meade,kentucky,ky,brandenburg,KFTK
1075,menifee,kentucky,ky,frenchburg,KIOB
1076,mercer,kentucky,ky,harrodsburg,KDVK
1077,metcalfe,kentucky,ky,edmonton,KGLW
1078,monroe,kentucky,ky,tompkinsville,KGLW
1079,montgomery,kentucky,ky,mount-sterling,KIOB
1080,morgan,kentucky,ky,west-liberty,KJKL
1081,muhlenberg,kentucky,ky,greenville,K2I0
1082,nelson,kentucky,ky,bardstown,KFTK
1083,nicholas,kentucky,ky,carlisle,KIOB
1084,ohio,kentucky,ky,hartford,KOWB
1085,oldham,kentucky,ky,,
1086,owen,kentucky,ky,owenton,KFFT
1087,owsley,kentucky,ky,,
1088,pendleton,kentucky,ky,falmouth,KI69
1089,perry,kentucky,ky,hazard,KJKL
1090,pike,kentucky,ky,pikeville,KSJS
1091,powell,kentucky,ky,stanton,KIOB
1092,pulaski,kentucky,ky,somerset,KSME
1093,robertson,kentucky,ky,mount-olivet,KIOB
1094,rockcastle,kentucky,ky,mount-vernon,KLOZ
1095,rowan,kentucky,ky,morehead,KIOB
1096,russell,kentucky,ky,jamestown,KSME
1097,scott,kentucky,ky,georgetown,
1098,shelby,kentucky,ky,shelbyville,KFFT
1099,simpson,kentucky,ky,franklin,KBWG
1100,spencer,kentucky,ky,taylorsville,KLOU
1101,taylor,kentucky,ky,campbellsville,KDVK
1102,todd,kentucky,ky,elkton,KHOP
1103,trigg,kentucky,ky,cadiz,KHOP
1104,trimble,kentucky,ky,bedford,KLOU
1105,union,kentucky,ky,morganfield,KEHR
1106,warren,kentucky,ky,bowling-green,KBWG
1107,washington,kentucky,ky,springfield,KDVK
1108,wayne,kentucky,ky,monticello,KSME
1109,webster,kentucky,ky,dixon,K2I0
1110,whitley,kentucky,ky,williamsburg,KLOZ
1111,wolfe,kentucky,ky,campton,KJKL
1112,woodford,kentucky,ky,versailles,KLEX
1113,acadia parish,louisiana,la,crowley,K3R7
1114,allen parish,louisiana,la,oberlin,KACP
1115,ascension parish,louisiana,la,donaldsonville,KBTR
1116,assumption parish,louisiana,la,napoleonville,KP92
1117,avoyelles parish,louisiana,la,marksville,KESF
1118,beauregard parish,louisiana,la,deridder,KDRI
1119,bienville parish,louisiana,la,arcadia,KRSN
1120,bossier parish,louisiana,la,benton,KDTN
1121,caddo parish,louisiana,la,shreveport,KDTN
1122,calcasieu parish,louisiana,la,lake-charles,KCWF
1123,caldwell parish,louisiana,la,columbia,KMLU
1124,cameron parish,louisiana,la,cameron,KUXL
1125,catahoula parish,louisiana,la,harrisonburg,KHEZ
1126,claiborne parish,louisiana,la,homer,KMNE
1127,concordia parish,louisiana,la,vidalia,KHEZ
1128,de soto parish,louisiana,la,mansfield,KSHV
1129,east baton rouge parish,louisiana,la,baton-rouge,KBTR
1130,east carroll parish,louisiana,la,lake-providence,KTVR
1131,east feliciana parish,louisiana,la,clinton,KBTR
1132,evangeline parish,louisiana,la,,
1133,franklin parish,louisiana,la,winnsboro,
1134,grant parish,louisiana,la,colfax,KAEX
1135,iberia parish,louisiana,la,new-iberia,KARA
1136,iberville parish,louisiana,la,plaquemine,KBTR
1137,jackson parish,louisiana,la,jonesboro,
1138,jefferson parish,louisiana,la,gretna,KNBG
1139,jefferson davis parish,louisiana,la,jennings,K3R7
1140,lafayette parish,louisiana,la,lafayette,KLFT
1141,lafourche parish,louisiana,la,thibodaux,KHUM
1142,la salle parish,louisiana,la,jena,KESF
1143,lincoln parish,louisiana,la,ruston,KRSN
1144,livingston parish,louisiana,la,livingston,KHDC
1145,madison parish,louisiana,la,tallulah,
1146,morehouse parish,louisiana,la,bastrop,KBQP
1147,natchitoches parish,louisiana,la,natchitoches,KIER
1148,orleans parish,louisiana,la,,
1149,ouachita parish,louisiana,la,monroe,KMLU
1150,plaquemines parish,louisiana,la,,
1151,pointe coupee parish,louisiana,la,new-roads,KHZR
1152,rapides parish,louisiana,la,alexandria,KAEX
1153,red river parish,louisiana,la,coushatta,KIER
1154,richland parish,louisiana,la,rayville,KMLU
1155,sabine parish,louisiana,la,many,KAQV
1156,st. bernard parish,louisiana,la,chalmette,KNEW
1157,st. charles parish,louisiana,la,hahnville,KMSY
1158,st. helena parish,louisiana,la,greensburg,KHDC
1159,st. james parish,louisiana,la,convent,KHUM
1160,st. john the baptist parish,louisiana,la,edgard,KMSY
1161,st. landry parish,louisiana,la,opelousas,KOPL
1162,st. martin parish,louisiana,la,st.-martinville,KARA
1163,st. mary parish,louisiana,la,franklin,KARA
1164,st. tammany parish,louisiana,la,covington,KHDC
1165,tangipahoa parish,louisiana,la,amite-city,KHDC
1166,tensas parish,louisiana,la,st.-joseph,KHEZ
1167,terrebonne parish,louisiana,la,houma,KHUM
1168,union parish,louisiana,la,farmerville,KRSN
1169,vermilion parish,louisiana,la,abbeville,KIYA
1170,vernon parish,louisiana,la,leesville,KPOE
1171,washington parish,louisiana,la,franklinton,KBXA
1172,webster parish,louisiana,la,minden,KMNE
1173,west baton rouge parish,louisiana,la,port-allen,
1174,west carroll parish,louisiana,la,"oak-grove,-west-carroll-parish",
1175,west feliciana parish,louisiana,la,st.-francisville,KHZR
1176,winn parish,louisiana,la,winnfield,KIER
1177,androscoggin,maine,me,auburn,KLEW
1178,aroostook,maine,me,houlton,KHUL
1179,cumberland,maine,me,portland,KPWM
1180,franklin,maine,me,farmington,KWVL
1181,hancock,maine,me,ellsworth,KBHB
1182,kennebec,maine,me,augusta,KAUG
1183,knox,maine,me,rockland,KRKD
1184,lincoln,maine,me,wiscasset,KIWI
1185,oxford,maine,me,paris,KLEW
1186,penobscot,maine,me,bangor,KBGR
1187,piscataquis,maine,me,dover-foxcroft,KBGR
1188,sagadahoc,maine,me,bath,KIWI
1189,somerset,maine,me,skowhegan,KWVL
1190,waldo,maine,me,belfast,KRKD
1191,washington,maine,me,machias,KBHB
1192,york,maine,me,alfred,KSFM
1193,allegany,maryland,md,cumberland,KCBE
1194,anne arundel,maryland,md,annapolis,KNAK
1195,baltimore,maryland,md,towson,
1196,calvert,maryland,md,prince-frederick,K2W6
1197,caroline,maryland,md,denton,KESN
1198,carroll,maryland,md,westminster,
1199,cecil,maryland,md,elkton,KILG
1200,charles,maryland,md,la-plata,KDAA
1201,dorchester,maryland,md,cambridge,
1202,frederick,maryland,md,,
1203,garrett,maryland,md,oakland,K2G4
1204,harford,maryland,md,bel-air,
1205,howard,maryland,md,ellicott-city,KBWI
1206,kent,maryland,md,chestertown,KAPG
1207,montgomery,maryland,md,rockville,KGAI
1208,prince george's,maryland,md,upper-marlboro,KADW
1209,queen anne's,maryland,md,centreville,
1210,st. mary's,maryland,md,leonardtown,K2W6
1211,somerset,maryland,md,princess-anne,KSBY
1212,talbot,maryland,md,easton,KESN
1213,washington,maryland,md,hagerstown,KHGR
1214,wicomico,maryland,md,salisbury,KSBY
1215,worcester,maryland,md,snow-hill,KSBY
1216,city of baltimore,maryland,md,,
1217,barnstable,massachusetts,ma,barnstable,KHYA
1218,berkshire,massachusetts,ma,pittsfield,KPSF
1219,bristol,massachusetts,ma,taunton,KTAN
1220,dukes,massachusetts,ma,edgartown,KMVY
1221,essex,massachusetts,ma,salem,KBVY
1222,franklin,massachusetts,ma,greenfield,
1223,hampden,massachusetts,ma,springfield,KCEF
1224,hampshire,massachusetts,ma,northampton,KCEF
1225,middlesex,massachusetts,ma,lowell,KBED
1226,town and of nantucket,massachusetts,ma,,
1227,norfolk,massachusetts,ma,dedham,
1228,plymouth,massachusetts,ma,plymouth,KPYM
1229,suffolk,massachusetts,ma,boston,KBOS
1230,worcester,massachusetts,ma,worcester,KORH
1231,alcona,michigan,mi,harrisville,
1232,alger,michigan,mi,,
1233,allegan,michigan,mi,allegan,KBIV
1234,alpena,michigan,mi,alpena,KAPN
1235,antrim,michigan,mi,bellaire,KACB
1236,arenac,michigan,mi,standish,KIKW
1237,baraga,michigan,mi,l'anse,
1238,barry,michigan,mi,hastings,KGRR
1239,bay,michigan,mi,bay-city,KMBS
1240,benzie,michigan,mi,beulah,KFKS
1241,berrien,michigan,mi,st.-joseph,
1242,branch,michigan,mi,coldwater,KOEB
1243,calhoun,michigan,mi,marshall,KRMY
1244,cass,michigan,mi,cassopolis,KEKM
1245,charlevoix,michigan,mi,charlevoix,KCVX
1246,cheboygan,michigan,mi,cheboygan,KSLH
1247,chippewa,michigan,mi,sault-ste.-marie,LFMV
1248,clare,michigan,mi,harrison,KHTL
1249,clinton,michigan,mi,st.-johns,
1250,crawford,michigan,mi,grayling,KGOV
1251,delta,michigan,mi,escanaba,KSAW
1252,dickinson,michigan,mi,iron-mountain,KIMT
1253,eaton,michigan,mi,charlotte,KFPK
1254,emmet,michigan,mi,petoskey,KMGN
1255,genesee,michigan,mi,flint,KFNT
1256,gladwin,michigan,mi,gladwin,KIKW
1257,gogebic,michigan,mi,bessemer,KIWD
1258,grand traverse,michigan,mi,traverse-city,KTVC
1259,gratiot,michigan,mi,ithaca,KAMN
1260,hillsdale,michigan,mi,hillsdale,KJYM
1261,houghton,michigan,mi,houghton,KCMX
1262,huron,michigan,mi,bad-axe,KBAX
1263,ingham,michigan,mi,mason,KTEW
1264,ionia,michigan,mi,ionia,
1265,iosco,michigan,mi,tawas-city,KOSC
1266,iron,michigan,mi,crystal-falls,KIMT
1267,isabella,michigan,mi,mount-pleasant,KMOP
1268,jackson,michigan,mi,jackson,KJXN
1269,kalamazoo,michigan,mi,kalamazoo,KAZO
1270,kalkaska,michigan,mi,kalkaska,KACB
1271,kent,michigan,mi,grand-rapids,KGRR
1272,keweenaw,michigan,mi,eagle-river,PAEG
1273,lake,michigan,mi,,
1274,lapeer,michigan,mi,lapeer,KD95
1275,leelanau,michigan,mi,suttons-bay,KTVC
1276,lenawee,michigan,mi,adrian,KADG
1277,livingston,michigan,mi,howell,KOZW
1278,luce,michigan,mi,newberry,
1279,mackinac,michigan,mi,st.-ignace,KMCD
1280,macomb,michigan,mi,mount-clemens,KMTC
1281,manistee,michigan,mi,manistee,KMBL
1282,marquette,michigan,mi,marquette,KSAW
1283,mason,michigan,mi,ludington,KLDM
1284,mecosta,michigan,mi,big-rapids,KRQB
1285,menominee,michigan,mi,menominee,KSUE
1286,midland,michigan,mi,midland,KIKW
1287,missaukee,michigan,mi,lake-city,KCAD
1288,monroe,michigan,mi,monroe,KTTF
1289,montcalm,michigan,mi,stanton,KAMN
1290,montmorency,michigan,mi,atlanta,KGLR
1291,muskegon,michigan,mi,muskegon,KMKG
1292,newaygo,michigan,mi,white-cloud,KFFX
1293,oakland,michigan,mi,pontiac,KPTK
1294,oceana,michigan,mi,hart,KLDM
1295,ogemaw,michigan,mi,west-branch,KHTL
1296,ontonagon,michigan,mi,ontonagon,KCMX
1297,osceola,michigan,mi,reed-city,KRQB
1298,oscoda,michigan,mi,mio,KGOV
1299,otsego,michigan,mi,gaylord,KGLR
1300,ottawa,michigan,mi,grand-haven,KMKG
1301,presque isle,michigan,mi,rogers-city,KPZQ
1302,roscommon,michigan,mi,roscommon,KHTL
1303,saginaw,michigan,mi,saginaw,KHYX
1304,st. clair,michigan,mi,port-huron,KPHN
1305,st. joseph,michigan,mi,centreville,KHAI
1306,sanilac,michigan,mi,sandusky,KBAX
1307,schoolcraft,michigan,mi,manistique,KISQ
1308,shiawassee,michigan,mi,corunna,KRNP
1309,tuscola,michigan,mi,,
1310,van buren,michigan,mi,paw-paw,KAZO
1311,washtenaw,michigan,mi,ann-arbor,KARB
1312,wayne,michigan,mi,detroit,KDET
1313,wexford,michigan,mi,cadillac,KCAD
1314,aitkin,minnesota,mn,aitkin,KAIT
1315,anoka,minnesota,mn,anoka,KANE
1316,becker,minnesota,mn,detroit-lakes,KDTL
1317,beltrami,minnesota,mn,bemidji,KBJI
1318,benton,minnesota,mn,foley,KSTC
1319,big stone,minnesota,mn,ortonville,KVVV
1320,blue earth,minnesota,mn,mankato,KMKT
1321,brown,minnesota,mn,new-ulm,KULM
1322,carlton,minnesota,mn,carlton,KCOQ
1323,carver,minnesota,mn,chaska,KFCM
1324,cass,minnesota,mn,walker,KXVG
1325,chippewa,minnesota,mn,montevideo,
1326,chisago,minnesota,mn,center-city,KOEO
1327,clay,minnesota,mn,moorhead,KFAR
1328,clearwater,minnesota,mn,bagley,KFSE
1329,cook,minnesota,mn,grand-marais,KCKC
1330,cottonwood,minnesota,mn,windom,KMWM
1331,crow wing,minnesota,mn,brainerd,KBRD
1332,dakota,minnesota,mn,hastings,KSGS
1333,dodge,minnesota,mn,mantorville,KTOB
1334,douglas,minnesota,mn,alexandria,KAXN
1335,faribault,minnesota,mn,blue-earth,KFRM
1336,fillmore,minnesota,mn,preston,KFKA
1337,freeborn,minnesota,mn,albert-lea,KAEL
1338,goodhue,minnesota,mn,red-wing,KRGK
1339,grant,minnesota,mn,elbow-lake,KY63
1340,hennepin,minnesota,mn,minneapolis,KMIC
1341,houston,minnesota,mn,caledonia,
1342,hubbard,minnesota,mn,park-rapids,KPKD
1343,isanti,minnesota,mn,cambridge,KCBG
1344,itasca,minnesota,mn,grand-rapids,KGPZ
1345,jackson,minnesota,mn,jackson,KMJQ
1346,kanabec,minnesota,mn,mora,KJMR
1347,kandiyohi,minnesota,mn,willmar,KBDH
1348,kittson,minnesota,mn,hallock,KHCO
1349,koochiching,minnesota,mn,international-falls,KINL
1350,lac qui parle,minnesota,mn,madison,KDXX
1351,lake,minnesota,mn,two-harbors,KTWM
1352,lake of the woods,minnesota,mn,baudette,KBDE
1353,le sueur,minnesota,mn,le-center,KMKT
1354,lincoln,minnesota,mn,ivanhoe,KCNB
1355,lyon,minnesota,mn,marshall,KMML
1356,mcleod,minnesota,mn,glencoe,KGYL
1357,mahnomen,minnesota,mn,mahnomen,KFSE
1358,marshall,minnesota,mn,warren,KGFK
1359,martin,minnesota,mn,fairmont,KFRM
1360,meeker,minnesota,mn,litchfield,KLJF
1361,mille lacs,minnesota,mn,milaca,
1362,morrison,minnesota,mn,little-falls,KLXL
1363,mower,minnesota,mn,austin,KAUM
1364,murray,minnesota,mn,slayton,KDVP
1365,nicollet,minnesota,mn,st.-peter,KMKT
1366,nobles,minnesota,mn,worthington,KOTG
1367,norman,minnesota,mn,ada,KFAR
1368,olmsted,minnesota,mn,rochester,K9MN
1369,otter tail,minnesota,mn,fergus-falls,KFFM
1370,pennington,minnesota,mn,thief-river-falls,KTVF
1371,pine,minnesota,mn,pine-city,KROS
1372,pipestone,minnesota,mn,pipestone,KPQN
1373,polk,minnesota,mn,crookston,KCKN
1374,pope,minnesota,mn,glenwood,KGHW
1375,ramsey,minnesota,mn,saint-paul,KSTP
1376,red lake,minnesota,mn,red-lake-falls,KTVF
1377,redwood,minnesota,mn,redwood-falls,KRWF
1378,renville,minnesota,mn,olivia,KOVL
1379,rice,minnesota,mn,faribault,KFBL
1380,rock,minnesota,mn,luverne,KLYV
1381,roseau,minnesota,mn,roseau,KROX
1382,st. louis,minnesota,mn,duluth,KTWM
1383,scott,minnesota,mn,shakopee,KFCM
1384,sherburne,minnesota,mn,,
1385,sibley,minnesota,mn,gaylord,KGYL
1386,stearns,minnesota,mn,st.-cloud,KSTC
1387,steele,minnesota,mn,owatonna,KOWA
1388,stevens,minnesota,mn,morris,KMOX
1389,swift,minnesota,mn,benson,KBBB
1390,todd,minnesota,mn,long-prairie,K14Y
1391,traverse,minnesota,mn,wheaton,KETH
1392,wabasha,minnesota,mn,wabasha,KONA
1393,wadena,minnesota,mn,wadena,KADC
1394,waseca,minnesota,mn,waseca,KACQ
1395,washington,minnesota,mn,stillwater,K21D
1396,watonwan,minnesota,mn,st.-james,KJYG
1397,wilkin,minnesota,mn,breckenridge,KBWP
1398,winona,minnesota,mn,winona,KONA
1399,wright,minnesota,mn,buffalo,KCFE
1400,yellow medicine,minnesota,mn,granite-falls,
1401,adams,mississippi,ms,natchez,KHEZ
1402,alcorn,mississippi,ms,corinth,KTUP
1403,amite,mississippi,ms,liberty,KMCB
1404,attala,mississippi,ms,kosciusko,KGWO
1405,benton,mississippi,ms,ashland,
1406,bolivar,mississippi,ms,rosedale,KRNV
1407,calhoun,mississippi,ms,pittsboro,KUOX
1408,carroll,mississippi,ms,carrollton,KGWO
1409,chickasaw,mississippi,ms,houston,KTUP
1410,choctaw,mississippi,ms,ackerman,KSTF
1411,claiborne,mississippi,ms,port-gibson,KVKS
1412,clarke,mississippi,ms,quitman,KMEI
1413,clay,mississippi,ms,west-point,KGTR
1414,coahoma,mississippi,ms,clarksdale,KRNV
1415,copiah,mississippi,ms,hazlehurst,KHKS
1416,covington,mississippi,ms,collins,KPIB
1417,desoto,mississippi,ms,hernando,KMEM
1418,forrest,mississippi,ms,hattiesburg,KHBG
1419,franklin,mississippi,ms,meadville,KHEZ
1420,george,mississippi,ms,lucedale,KMOB
1421,greene,mississippi,ms,leakesville,KMOB
1422,grenada,mississippi,ms,grenada,KGWO
1423,hancock,mississippi,ms,bay-st.-louis,KHSA
1424,harrison,mississippi,ms,biloxi,KBIX
1425,hinds,mississippi,ms,jackson,KHKS
1426,holmes,mississippi,ms,lexington,KGWO
1427,humphreys,mississippi,ms,belzoni,KGWO
1428,issaquena,mississippi,ms,mayersville,KTVR
1429,itawamba,mississippi,ms,fulton,KTUP
1430,jackson,mississippi,ms,pascagoula,KPQL
1431,jasper,mississippi,ms,bay-springs,KPIB
1432,jefferson,mississippi,ms,fayette,KHEZ
1433,jefferson davis,mississippi,ms,prentiss,KPIB
1434,jones,mississippi,ms,laurel,KPIB
1435,kemper,mississippi,ms,de-kalb,KNMM
1436,lafayette,mississippi,ms,oxford,KUOX
1437,lamar,mississippi,ms,purvis,KHBG
1438,lauderdale,mississippi,ms,meridian,KMEI
1439,lawrence,mississippi,ms,monticello,KMCB
1440,leake,mississippi,ms,carthage,KJAN
1441,lee,mississippi,ms,tupelo,KTUP
1442,leflore,mississippi,ms,greenwood,KGWO
1443,lincoln,mississippi,ms,brookhaven,KMCB
1444,lowndes,mississippi,ms,columbus,KCBM
1445,madison,mississippi,ms,canton,KJAN
1446,marion,mississippi,ms,columbia,KBXA
1447,marshall,mississippi,ms,holly-springs,KUOX
1448,monroe,mississippi,ms,aberdeen,KCBM
1449,montgomery,mississippi,ms,winona,KGWO
1450,neshoba,mississippi,ms,philadelphia,KNMM
1451,newton,mississippi,ms,decatur,KMEI
1452,noxubee,mississippi,ms,macon,KGTR
1453,oktibbeha,mississippi,ms,starkville,
1454,panola,mississippi,ms,batesville,KUOX
1455,pearl river,mississippi,ms,poplarville,KBXA
1456,perry,mississippi,ms,new-augusta,KHBG
1457,pike,mississippi,ms,magnolia,KMCB
1458,pontotoc,mississippi,ms,pontotoc,KTUP
1459,prentiss,mississippi,ms,booneville,KTUP
1460,quitman,mississippi,ms,marks,KUOX
1461,rankin,mississippi,ms,brandon,KJAN
1462,scott,mississippi,ms,forest,KJAN
