"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00115927","1993-03",,,"11","8","2","1",,,,,,,"1","1.0","0.40",,,,,,,,,,,,,,,,"2.16","1.5",,,
"USC00115927","1993-04",,,"9","7","0","0",,,,,,,"0","0.0","2.10",,,,,,,,,,,,,,,,"4.63","0.0",,,
"USC00115927","1993-05",,,"7","4","0","0",,,,,,,"0","0.0","0.31",,,,,,,,,,,,,,,,"0.92","0.0",,,
"USC00115927","1993-06",,,"11","10","0","0",,,,,,,"0","0.0","2.55",,,,,,,,,,,,,,,,"7.17","0.0",,,
"USC00115927","1993-07",,,"16","7","0","0",,,,,,,"0","0.0","1.57",,,,,,,,,,,,,,,,"6.80","0.0",,,
"USC00115927","1993-08",,,"10","7","0","0",,,,,,,"0","0.0","1.10",,,,,,,,,,,,,,,,"3.90","0.0",,,
"USC00115927","1993-09",,,"13","7","0","0",,,,,,,"0","0.0","2.90",,,,,,,,,,,,,,,,"6.81","0.0",,,
"USC00115927","1993-10",,,"7","4","0","0",,,,,,,"0","0.0","1.26",,,,,,,,,,,,,,,,"3.14","0.0",,,
"USC00115927","1993-11",,,"10","3","0","0",,,,,,,"0","0.2","1.20",,,,,,,,,,,,,,,,"2.19","0.4",,,
"USC00115927","1993-12",,,"7","4",,"0",,,,,,,,"0.1","0.30",,,,,,,,,,,,,,,,"0.93","0.1",,,
"USC00115927","1994-01",,,"3","2",,"0",,,,,,,,"0.2","0.75",,,,,,,,,,,,,,,,"0.98","0.7",,,
"USC00115927","1994-02",,,"8","4",,"1",,,,,,,,"2.0","0.20",,,,,,,,,,,,,,,,"0.55","2.6",,,
"USC00115927","1994-03",,,"4","2",,"1",,,,,,,,"1.3","0.50",,,,,,,,,,,,,,,,"1.00","1.3",,,
"USC00115927","1994-04",,,"9","8",,"0",,,,,,,,"0.1","3.20",,,,,,,,,,,,,,,,"8.00","0.2",,,
"USC00115927","1994-05",,,"5","5","0","0",,,,,,,"0","0.0","1.00",,,,,,,,,,,,,,,,"2.30","0.0",,,
"USC00115927","1994-06",,,"7","7","0","0",,,,,,,"0","0.0","1.70",,,,,,,,,,,,,,,,"4.69","0.0",,,
"USC00115927","1994-07",,,"8","4","0","0",,,,,,,"0","0.0","1.06",,,,,,,,,,,,,,,,"2.69","0.0",,,
"USC00115927","1994-08",,,"8","8","0","0",,,,,,,"0","0.0","1.17",,,,,,,,,,,,,,,,"4.37","0.0",,,
"USC00115927","1994-09",,,"6","4","0","0",,,,,,,"0","0.0","1.28",,,,,,,,,,,,,,,,"2.36","0.0",,,
"USC00115927","1994-10",,,"8","5","0","0",,,,,,,"0","0.0","1.20",,,,,,,,,,,,,,,,"2.88","0.0",,,
"USC00115927","1994-11",,,"7","7","0","0",,,,,,,"0","0.0","2.00",,,,,,,,,,,,,,,,"5.55","0.0",,,
"USC00115927","1994-12",,,"9","6","0","0",,,,,,,"0","0.0","0.75",,,,,,,,,,,,,,,,"2.31","0.0",,,
"USC00115927","1995-01",,,"10","6","6","2",,,,,,,"4","3.0","1.60",,,,,,,,,,,,,,,,"2.91","4.3",,,
"USC00115927","1995-02",,,"4","2","1","1",,,,,,,"1","1.0","0.12",,,,,,,,,,,,,,,,"0.28","1.5",,,
"USC00115927","1995-03",,,"8","7","0","0",,,,,,,"0","0.0","2.00",,,,,,,,,,,,,,,,"3.51","0.0",,,
"USC00115927","1995-04",,,"12","7","0","0",,,,,,,"0","0.0","0.70",,,,,,,,,,,,,,,,"2.53","0.0",,,
"USC00115927","1995-05",,,"16","14","0","0",,,,,,,"0","0.0","3.00",,,,,,,,,,,,,,,,"10.75","0.0",,,
"USC00115927","1995-06",,,"13","7","0","0",,,,,,,"0","0.0","0.82",,,,,,,,,,,,,,,,"3.44","0.0",,,
"USC00115927","1995-07",,,"9","4","0","0",,,,,,,"0","0.0","0.92",,,,,,,,,,,,,,,,"2.07","0.0",,,
"USC00115927","1995-08",,,"10","6","0","0",,,,,,,"0","0.0","1.88",,,,,,,,,,,,,,,,"4.58","0.0",,,
"USC00115927","1995-09",,,"6","3","0","0",,,,,,,"0","0.0","0.27",,,,,,,,,,,,,,,,"0.76","0.0",,,
"USC00115927","1995-10",,,"11","7","0","0",,,,,,,"0","0.0","1.06",,,,,,,,,,,,,,,,"3.26","0.0",,,
"USC00115927","1995-11",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1995-12",,,"8","4",,"3",,,,,,,,"2.0","0.56",,,,,,,,,,,,,,,,"1.41","5.4",,,
"USC00115927","1996-01",,,"8","5",,"3",,,,,,,,"4.5","0.83",,,,,,,,,,,,,,,,"1.87","8.5",,,
"USC00115927","1996-02",,,"7","1","0","1",,,,,,,"0","1.0","0.47",,,,,,,,,,,,,,,,"0.61","1.0",,,
"USC00115927","1996-04",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1996-05",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1996-06",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1996-07",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1996-08",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1996-09",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1996-10",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1996-12",,,,,"1","1",,,,,,,"2","1.6",,,,,,,,,,,,,,,,,,"2.6",,,
"USC00115927","1997-03",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1997-05",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1997-06",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1997-07",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1997-08",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1997-09",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1997-10",,,,,"0","0",,,,,,,"0","0.0",,,,,,,,,,,,,,,,,,"0.0",,,
"USC00115927","1998-01",,,"11","7","0","1",,,,,,,"0","1.0","0.73",,,,,,,,,,,,,,,,"2.54","1.8",,,
"USC00115927","1998-02",,,"9","6","0","0",,,,,,,"0","0.0","0.62",,,,,,,,,,,,,,,,"2.70","0.0",,,
"USC00115927","1998-03",,,"13","9","1","3",,,,,,,"1","3.0","0.96",,,,,,,,,,,,,,,,"5.19","6.3",,,
"USC00115927","1998-04",,,"13","7","0","0",,,,,,,"0","0.0","0.98",,,,,,,,,,,,,,,,"3.23","0.0",,,
"USC00115927","1998-05",,,"12","11","0","0",,,,,,,"0","0.0","0.71",,,,,,,,,,,,,,,,"4.93","0.0",,,
"USC00115927","1998-06",,,"13","11","0","0",,,,,,,"0","0.0","1.52",,,,,,,,,,,,,,,,"8.96","0.0",,,
"USC00115927","1998-07",,,"9","4","0","0",,,,,,,"0","0.0","1.37",,,,,,,,,,,,,,,,"3.35","0.0",,,
